Type,Poem/poet,wordCount,avgWordLength,alliterationFreq,assonanceFreq,consonanceFreq,slantEndRhymeFreq,perfectEndRhymeFreq,soundDevicesFreq,endRhymeFreq,concreteness,imageability,valence,arousal,typeTokenRatio,logWordFreq,objectWords,absWords
19thPoet,"OdetotheNortheastWind,byCharlesKingsley/19th",0.5819,0.3088,0.0379,0.2689,0.4965,0.0353,0.0858,0.8034,0.1262,2.808232759,352.2155689,5.474271845,3.972135922,0.65625,2.736319567,0.03125,0.024305556
19thPoet,"AnAprilDay,byHenryWadsworthLongfellow/19th",0.509,0.3044,0.043,0.3779,0.7129,0.0555,0.1555,1.1339,0.2111,2.639819277,348.9635037,6.306031746,3.937936508,0.668292683,2.56541823,0.043902439,0.014634146
19thPoet,"TheFaithlessWife,byFedericoGarciaLorca/19th",0.5756,0.2039,0.0212,0.3922,0.5265,0.132,0.0062,0.9399,0.1509,2.71248927,346.2918919,5.98703125,4.01125,0.555160142,2.327738572,0.028469751,0.014234875
19thPoet,"IntheStreet,byHenryLawson/19th",0.5792,0.2062,0.0243,0.4146,0.554,0,0.0952,0.993,0.1071,2.434747082,319.2533937,5.385128205,4.412820513,0.513793103,2.150918514,0.020689655,0.024137931
19thPoet,"Science-fictionCradlesong,byC.S.Lewis/19th",0.4246,0.1309,0.0647,0.2805,0.6546,0.0151,0.1818,1,0.1969,2.711048387,358.2336449,5.846222222,3.830888889,0.68115942,2.047497128,0.050724638,0.014492754
19thPoet,"ThePobbleWhoHasNoToes,byEdwardLear/19th",0.6163,0.2172,0.0602,0.3072,0.506,0.0217,0.1231,0.8734,0.1666,2.663763838,339.25,6.011290323,3.704193548,0.5,2.229826379,0.021084337,0.012048193
19thPoet,"Patterns,byAmyLowell/19th",0.8008,0.2079,0.023,0.3634,0.4923,0.0716,0.0685,0.8788,0.1557,2.71646098,337.1762014,5.954114286,3.951257143,0.417310665,2.282356358,0.023183926,0.021638331
19thPoet,"Butterfly,byDavidHerbertLawrence/19th",0.4234,0.2206,0.0144,0.3478,0.5289,0.0757,0.0151,0.8913,0.1212,2.973644068,351.9387755,6.162,3.6764,0.526315789,2.272358477,0.07518797,0.007518797
19thPoet,"TheDandelion,byVachelLindsay/19th",0.3163,0.2161,0.0289,0.2173,0.3768,0.0666,0.0666,0.6231,0.1666,2.672727273,342.3255814,5.908461538,4.198846154,0.850746269,2.197918651,0.014925373,0.044776119
19thPoet,"FromOneAugurtoAnother,byEmmaLazarus/19th",0.3803,0.3064,0.0185,0.2407,0.3888,0.1388,0.1388,0.6481,0.2777,2.513125,324.7936508,6.394444444,3.716296296,0.719626168,2.350964846,0.056074766,0.009345794
19thPoet,"ASongOfEternityInTime,bySidneyLanier/19th",0.3852,0.2142,0.027,0.3783,0.5585,0.0476,0.238,0.9639,0.2857,2.670306122,352.173913,5.64625,4.4703125,0.747747748,2.649838816,0.027027027,0.018018018
19thPoet,"AReminiscence,byAmyLevy/19th",0.3311,0.2033,0,0.2564,0.3333,0,0.1666,0.5897,0.1666,2.497692308,330.6666667,5.741578947,4.274736842,0.782051282,2.647442071,0.064102564,0.012820513
19thPoet,"Baptism,byClaudeMcKay/19th",0.3786,0.2092,0.0747,0.3177,0.5887,0.0277,0.25,0.9813,0.2777,2.721704545,350.942029,5.427317073,4.315365854,0.719626168,2.682799821,0.056074766,0.018691589
19thPoet,"AtEase,byWalterdelaMare/19th",0.3245,0.1226,0.0135,0.3918,0.6621,0.2,0.0333,1.0675,0.2333,2.368591549,313.5862069,5.628076923,3.975384615,0.727272727,2.159143816,0,0.038961039
19thPoet,"ApostropheToMan,byEdnaSt.VincentMillay/19th",0.3639,0.4276,0.0306,0.3367,0.653,0.0625,0,1.0204,0.0625,2.743333333,352.34,5.201395349,4.300697674,0.797979798,2.715911039,0.02020202,0.02020202
19thPoet,"TheMorningWalk,byA.A.Milne/19th",0.273,0.1209,0.0377,0.1509,0.4339,0.1111,0.1111,0.6226,0.2777,2.516097561,310.25,6.015384615,4.031538462,0.754716981,1.989760443,0.056603774,0
19thPoet,"ABalladofJohnSilver,byJohnMasefield/19th",0.5783,0.2183,0.0244,0.3776,0.5769,0.1304,0.1739,0.979,0.3188,2.491288889,314.265896,5.663090909,4.116363636,0.602150538,2.326151614,0.025089606,0
19thPoet,"RobertFultonTanner,byEdgarLeeMasters/19th",0.4493,0.2004,0.0251,0.2955,0.4088,0.0666,0,0.7295,0.0833,2.731478873,336.2300885,5.394259259,4.48537037,0.66875,2.284833788,0.04375,0.025
19thPoet,"ButterflyLaughter,byKatherineMansfield/19th",0.3377,0.2297,0.0487,0.4146,0.6097,0.0303,0,1.0731,0.0606,2.755733333,337.5806452,6.465185185,4.028518519,0.674698795,2.035626932,0.024096386,0.036144578
19thPoet,"NearAvalon,byWilliamMorris/19th",0.3639,0.303,0.0204,0.3061,0.6224,0.0952,0.2857,0.9489,0.4047,2.799240506,363.5967742,5.704444444,3.75962963,0.680412371,2.385479614,0.113402062,0.010309278
19thPoet,"Quebec,byJohnMcCrae/19th",0.3032,0.2258,0.0163,0.377,0.3606,0.0555,0.1111,0.754,0.1666,2.611538462,355.4186047,5.817083333,4.457916667,0.75,2.802482212,0.03125,0
19thPoet,"AnAddresstoShakespeare,byWilliamTopazMcGonagall/19th",0.6212,0.2286,0.0088,0.4306,0.5014,0.3333,0.1397,0.941,0.5376,2.394948454,320.684874,5.853366337,4.121584158,0.563421829,2.475182796,0.02359882,0.014749263
19thPoet,"ModernLoveXLV:ItIstheSeason,byGeorgeMeredith/19th",0.4111,0.2118,0.0156,0.375,0.3984,0.0952,0.1428,0.789,0.238,2.702075472,353.7586207,5.8535,4.0655,0.700787402,2.426305446,0.047244094,0.039370079
19thPoet,"AtNightfall,byLucyMaudMontgomery/19th",0.5135,0.2018,0.0233,0.257,0.5186,0.0757,0.0909,0.799,0.1969,2.469572193,318,5.877457627,3.857627119,0.576744186,2.502460965,0.004651163,0.023255814
19thPoet,"CradleSong,bySarojiniNaidu/19th",0.318,0.2328,0.0714,0.2857,0.5428,0,0.1666,0.8999,0.1666,2.902115385,379.35,6.5168,4.0164,0.686567164,2.58335939,0.059701493,0
19thPoet,"Exposure,byWilfredOwen/19th",0.6191,0.3182,0.0476,0.4017,0.6071,0.0666,0,1.0565,0.1,2.671240602,340.9898477,5.420638298,4.068617021,0.690690691,2.622167363,0.027027027,0.018018018
19thPoet,"TheCityInTheSea,byEdgarAllanPoe/19th",0.6085,0.306,0.0373,0.4112,0.5358,0.0522,0.1633,0.9844,0.2418,2.44541502,315.2142857,5.423648649,3.928108108,0.612698413,2.537419074,0.015873016,0.012698413
